sample_id,sample_role,condition,image_file,relative_path,filter_label,filter_nm,width_px,height_px,file_size_bytes,mask_method,mask_pixels,mask_area_fraction,matched_spectrum_file,spectrometer_window_median_at_filter,current_white_reference_value_mean,current_white_reference_value_median,current_dark_reference_value_mean,current_dark_reference_value_median,current_white_normalized_value_mean,current_white_normalized_value_median,current_dark_white_reflectance_mean,mask_bbox_x,mask_bbox_y,mask_bbox_width,mask_bbox_height,mask_centroid_x,mask_centroid_y,r_0_1_mean,r_0_1_median,r_0_1_std,r_0_1_p05,r_0_1_p25,r_0_1_p75,r_0_1_p95,r_0_1_min,r_0_1_max,g_0_1_mean,g_0_1_median,g_0_1_std,g_0_1_p05,g_0_1_p25,g_0_1_p75,g_0_1_p95,g_0_1_min,g_0_1_max,b_0_1_mean,b_0_1_median,b_0_1_std,b_0_1_p05,b_0_1_p25,b_0_1_p75,b_0_1_p95,b_0_1_min,b_0_1_max,r_0_255_mean,r_0_255_median,r_0_255_std,r_0_255_p05,r_0_255_p25,r_0_255_p75,r_0_255_p95,r_0_255_min,r_0_255_max,g_0_255_mean,g_0_255_median,g_0_255_std,g_0_255_p05,g_0_255_p25,g_0_255_p75,g_0_255_p95,g_0_255_min,g_0_255_max,b_0_255_mean,b_0_255_median,b_0_255_std,b_0_255_p05,b_0_255_p25,b_0_255_p75,b_0_255_p95,b_0_255_min,b_0_255_max,value_0_1_mean,value_0_1_median,value_0_1_std,value_0_1_p05,value_0_1_p25,value_0_1_p75,value_0_1_p95,value_0_1_min,value_0_1_max,value_0_255_mean,value_0_255_median,value_0_255_std,value_0_255_p05,value_0_255_p25,value_0_255_p75,value_0_255_p95,value_0_255_min,value_0_255_max,luminance_0_1_mean,luminance_0_1_median,luminance_0_1_std,luminance_0_1_p05,luminance_0_1_p25,luminance_0_1_p75,luminance_0_1_p95,luminance_0_1_min,luminance_0_1_max,saturation_mean,saturation_median,saturation_std,saturation_p05,saturation_p25,saturation_p75,saturation_p95,saturation_min,saturation_max,gcc_mean,gcc_median,gcc_std,gcc_p05,gcc_p25,gcc_p75,gcc_p95,gcc_min,gcc_max,exg_mean,exg_median,exg_std,exg_p05,exg_p25,exg_p75,exg_p95,exg_min,exg_max,vari_mean,vari_median,vari_std,vari_p05,vari_p25,vari_p75,vari_p95,vari_min,vari_max,red_green_ratio_mean,red_green_ratio_median,red_green_ratio_std,red_green_ratio_p05,red_green_ratio_p25,red_green_ratio_p75,red_green_ratio_p95,red_green_ratio_min,red_green_ratio_max,blue_green_ratio_mean,blue_green_ratio_median,blue_green_ratio_std,blue_green_ratio_p05,blue_green_ratio_p25,blue_green_ratio_p75,blue_green_ratio_p95,blue_green_ratio_min,blue_green_ratio_max,app_calibration_white_reference_brightness,app_calibration_white_normalized_camera,app_calibration_source_curve_compensated_camera,app_calibration_source_curve_compensation_multiplier_vs_850,app_calibration_source_curve_reliability_weight,app_calibration_source_curve_status,app_calibration_spectrometer_target_reliability,app_calibration_dark_white_reflectance_proxy,app_calibration_dark_white_status,app_calibration_best_spectrometer_window_intensity,app_calibration_best_spectrometer_model,app_calibration_single_band_leave_one_leaf_out_rmse
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.jpg,in cutie\frunza sanatoasa dar galbena\camera\532.jpg,532,532,1920,1080,291503,filtered_camera_foreground,111433,0.053739,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,388.48,0.589234,0.552941,0.501995,0.52549,0.430435,0.460993,-2.846984,678,375,501,300,925.4,527.67,0.022065,0.011765,0.024743,0.0,0.0,0.035294,0.070588,0.0,0.188235,0.253627,0.254902,0.114051,0.078431,0.160784,0.341176,0.435294,0.043137,0.596078,0.067015,0.062745,0.046595,0.003922,0.027451,0.098039,0.14902,0.0,0.321569,5.626511,3.0,6.309567,0.0,0.0,9.0,18.0,0.0,48.0,64.674899,65.0,29.083044,20.0,41.0,87.0,111.0,11.0,152.0,17.088879,16.0,11.881835,1.0,7.0,25.0,38.0,0.0,82.0,0.253627,0.254902,0.114051,0.078431,0.160784,0.341176,0.435294,0.043137,0.596078,64.674899,65.0,29.083044,20.0,41.0,87.0,111.0,11.0,152.0,0.190924,0.189337,0.08881,0.058359,0.116965,0.259158,0.333991,0.030852,0.487003,0.931664,0.941176,0.062385,0.818182,0.887755,1.0,1.0,0.571428,1.0,0.776755,0.763158,0.092509,0.649123,0.708333,0.831325,0.961538,0.486956,1.0,0.418174,0.435294,0.169302,0.14902,0.282353,0.54902,0.670588,0.078431,0.823529,1.130684,1.117647,0.153546,0.910891,1.022989,1.218182,1.388889,0.619048,4.499997,0.069183,0.06,0.062284,0.0,0.0,0.112676,0.181818,0.0,0.428571,0.235849,0.25,0.105886,0.029412,0.173077,0.31,0.390805,0.0,0.809524,0.777582,0.326174,0.137574,0.421782,1.0,usable,normal,,"paired leaf brightness is mostly below the dark reference, so subtracting this dark frame would create non-physical negative reflectance",396.252133,multiband_ridge,29.840095
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.jpg,in cutie\frunza sanatoasa dar galbena\camera\556.jpg,556,556,1920,1080,298577,filtered_camera_foreground,111433,0.053739,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,440.63,0.513803,0.517647,0.501995,0.52549,0.585715,0.583334,-17.026846,678,375,501,300,925.4,527.67,0.089244,0.086275,0.048176,0.019608,0.05098,0.121569,0.176471,0.0,0.313726,0.300942,0.301961,0.101692,0.137255,0.219608,0.380392,0.462745,0.054902,0.627451,0.089518,0.082353,0.051289,0.015686,0.05098,0.12549,0.180392,0.0,0.356863,22.757244,22.0,12.28481,5.0,13.0,31.0,45.0,0.0,80.0,76.740265,77.0,25.931571,35.0,56.0,97.0,118.0,14.0,160.0,22.827089,21.0,13.078695,4.0,13.0,32.0,46.0,0.0,91.0,0.300942,0.301961,0.101692,0.137255,0.219608,0.380392,0.462745,0.054902,0.627451,76.740265,77.0,25.931571,35.0,56.0,97.0,118.0,14.0,160.0,0.24067,0.238609,0.085205,0.1049,0.171567,0.306937,0.377796,0.039266,0.541216,0.760525,0.75,0.094003,0.625,0.693182,0.818182,0.941176,0.343284,1.0,0.649878,0.634409,0.078994,0.553719,0.595745,0.685315,0.803279,0.403226,1.0,0.423122,0.427451,0.121907,0.219608,0.329412,0.52549,0.603922,0.090196,0.705882,0.7297,0.708333,0.151844,0.522388,0.626866,0.81,1.0,0.027778,3.0,0.280891,0.289855,0.095208,0.106383,0.225806,0.345455,0.419753,0.0,0.96,0.278236,0.288136,0.103706,0.085714,0.215517,0.350877,0.432099,0.0,0.727273,0.413677,0.727481,0.256577,0.352692,1.0,usable,normal,,dark/white denominator is not positive enough for this filter (camera auto-exposure or missing per-filter dark frame),444.120237,multiband_ridge,30.926715
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,680.jpg,in cutie\frunza sanatoasa dar galbena\camera\680.jpg,680,680,1920,1080,332784,filtered_camera_foreground,111433,0.053739,in cutie\frunza sanatoasa dar galbena\spectru\680.txt,379.19,0.603466,0.603922,0.501995,0.52549,0.658723,0.714286,-1.029634,678,375,501,300,925.4,527.67,0.397517,0.431373,0.179829,0.078431,0.266667,0.529412,0.658824,0.023529,0.87451,0.166014,0.176471,0.105153,0.003922,0.07451,0.243137,0.337255,0.0,0.545098,0.138016,0.141176,0.092415,0.0,0.058824,0.203922,0.294118,0.0,0.501961,101.366785,110.0,45.856399,20.0,68.0,135.0,168.0,6.0,223.0,42.333492,45.0,26.813904,1.0,19.0,62.0,86.0,0.0,139.0,35.194045,36.0,23.565757,0.0,15.0,52.0,75.0,0.0,128.0,0.397517,0.431373,0.179829,0.078431,0.266667,0.529412,0.658824,0.023529,0.87451,101.366785,110.0,45.856399,20.0,68.0,135.0,168.0,6.0,223.0,0.21321,0.227322,0.119303,0.019773,0.113711,0.301157,0.401871,0.00667,0.612016,0.710436,0.67619,0.13601,0.5375,0.609023,0.788235,1.0,0.405128,1.0,0.207589,0.231818,0.067397,0.04,0.190476,0.251366,0.269231,0.0,0.318182,-0.203505,-0.215686,0.072093,-0.305882,-0.254902,-0.160784,-0.066667,-0.431373,-0.003922,-0.608732,-0.558823,0.17228,-1.0,-0.672131,-0.495726,-0.433333,-13.999966,-0.33557,322838.615856,2.487805,1549135.057659,1.905405,2.157143,3.472222,21.999945,1.584071,23529412.0,11568.452587,0.826087,118004.648548,0.0,0.708333,0.923913,1.230769,0.0,5098039.5,0.768138,0.517507,0.170567,0.329594,1.0,usable,normal,,"paired leaf brightness is mostly below the dark reference, so subtracting this dark frame would create non-physical negative reflectance",379.361219,multiband_ridge,73.039606
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,725.jpg,in cutie\frunza sanatoasa dar galbena\camera\725.jpg,725,725,1920,1080,322780,filtered_camera_foreground,111433,0.053739,in cutie\frunza sanatoasa dar galbena\spectru\725.txt,528.22,0.554807,0.576471,0.501995,0.52549,0.909188,1.020407,0.045993,678,375,501,300,925.4,527.67,0.504394,0.588235,0.263519,0.070588,0.219608,0.717647,0.831373,0.007843,0.988235,0.34077,0.384314,0.201239,0.039216,0.113725,0.509804,0.619608,0.0,0.780392,0.297789,0.32549,0.181137,0.031373,0.101961,0.447059,0.560784,0.0,0.717647,128.620498,150.0,67.197448,18.0,56.0,183.0,212.0,2.0,252.0,86.896234,98.0,51.315939,10.0,29.0,130.0,158.0,0.0,199.0,75.936312,83.0,46.189995,8.0,26.0,114.0,143.0,0.0,183.0,0.504424,0.588235,0.263468,0.070588,0.219608,0.717647,0.831373,0.007843,0.988235,128.628189,150.0,67.184278,18.0,56.0,183.0,212.0,2.0,252.0,0.372453,0.424543,0.212557,0.045865,0.135418,0.548895,0.661467,0.001951,0.820049,0.455325,0.428571,0.121297,0.310345,0.368715,0.517857,0.68421,0.0,1.0,0.289538,0.297101,0.027043,0.236111,0.28,0.305618,0.315675,0.0,0.545454,-0.120644,-0.133333,0.054742,-0.196078,-0.160784,-0.082353,-0.019608,-0.27451,0.058824,-116.473794,-0.307692,15628.866478,-0.555556,-0.385965,-0.264249,-0.223629,-2745098.0,392156.84375,547.093843,1.506024,40538.647901,1.323171,1.40458,1.726027,2.227273,0.75,4313725.5,120.526334,0.875,15760.734958,0.611111,0.814815,0.923077,1.153846,0.0,2745098.0,0.654237,0.771011,0.300484,0.389727,1.0,usable,normal,,dark/white denominator is not positive enough for this filter (camera auto-exposure or missing per-filter dark frame),530.644,single_band_training_mean,30.82571
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,850.jpg,in cutie\frunza sanatoasa dar galbena\camera\850.jpg,850,850,1920,1080,378162,filtered_camera_foreground,111433,0.053739,in cutie\frunza sanatoasa dar galbena\spectru\850.txt,434.01,0.483964,0.501961,0.501995,0.52549,1.559707,1.523437,-14.022905,678,375,501,300,925.4,527.67,0.737472,0.745098,0.121591,0.521569,0.654902,0.831373,0.921569,0.294118,1.0,0.738708,0.74902,0.121832,0.521569,0.654902,0.831373,0.921569,0.317647,1.0,0.753354,0.760784,0.123181,0.533333,0.666667,0.847059,0.937255,0.309804,1.0,188.055459,190.0,31.005744,133.0,167.0,212.0,235.0,75.0,255.0,188.370581,191.0,31.067057,133.0,167.0,212.0,235.0,81.0,255.0,192.105274,194.0,31.411137,136.0,170.0,216.0,239.0,79.0,255.0,0.754842,0.764706,0.122202,0.537255,0.670588,0.847059,0.937255,0.317647,1.0,192.48465,195.0,31.161451,137.0,171.0,216.0,239.0,81.0,255.0,0.739503,0.747631,0.121728,0.522438,0.654958,0.833602,0.921301,0.312078,1.0,0.03008,0.02809,0.016419,0.009259,0.020202,0.037975,0.06015,0.0,0.189189,0.331294,0.331361,0.003307,0.326039,0.329412,0.333333,0.336634,0.312281,0.355828,-0.01341,-0.011765,0.02013,-0.047059,-0.027451,0.0,0.019608,-0.105882,0.090196,0.001806,0.0,0.020026,-0.02924,-0.009302,0.012712,0.035035,-0.115789,0.172727,0.998512,1.0,0.019393,0.966667,0.987552,1.009217,1.02924,0.850394,1.122222,1.020259,1.021053,0.017814,0.991736,1.010309,1.029536,1.048485,0.89313,1.166667,0.596867,1.264674,1.264674,1.0,1.0,usable,normal,,dark/white denominator is not positive enough for this filter (camera auto-exposure or missing per-filter dark frame),447.6,single_band_training_mean,15.444441
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,940.jpg,in cutie\frunza sanatoasa dar galbena\camera\940.jpg,940,940,1920,1080,315827,filtered_camera_foreground,111433,0.053739,in cutie\frunza sanatoasa dar galbena\spectru\940.txt,337.13,0.513442,0.494118,0.501995,0.52549,0.710096,0.841269,-12.00332,678,375,501,300,925.4,527.67,0.353564,0.403922,0.189879,0.066667,0.12549,0.513726,0.603922,0.0,0.764706,0.353564,0.403922,0.188298,0.070588,0.12549,0.513726,0.6,0.015686,0.752941,0.355075,0.407843,0.193011,0.058824,0.12549,0.517647,0.607843,0.0,0.772549,90.158813,103.0,48.419237,17.0,32.0,131.0,154.0,0.0,195.0,90.158768,103.0,48.016025,18.0,32.0,131.0,153.0,4.0,192.0,90.544157,104.0,49.217885,15.0,32.0,132.0,155.0,0.0,197.0,0.364593,0.415686,0.190084,0.07451,0.137255,0.52549,0.611765,0.015686,0.772549,92.971167,106.0,48.47137,19.0,35.0,134.0,156.0,4.0,197.0,0.353673,0.403922,0.18881,0.068638,0.124908,0.512346,0.601423,0.012053,0.755191,0.097207,0.055556,0.106027,0.012903,0.032258,0.12,0.333333,0.0,1.0,0.335801,0.332569,0.021482,0.311475,0.32732,0.339623,0.373134,0.171429,0.9,-0.001512,-0.003922,0.027243,-0.043137,-0.019608,0.015686,0.043137,-0.121569,0.156863,31.685021,0.0,6748.466096,-0.125,-0.032,0.032895,0.208333,-2.000002,1568627.375,0.997352,1.0,0.106749,0.821429,0.967742,1.033333,1.142857,0.0,2.833332,0.991671,1.007246,0.115442,0.772727,0.965517,1.038168,1.138614,0.0,1.999999,0.667304,0.546367,2.576257,4.715249,0.212078,weak_source_amplifies_noise,low_confidence_excluded,,dark/white denominator is not positive enough for this filter (camera auto-exposure or missing per-filter dark frame),,excluded_low_confidence_spectrometer_target,
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,fara.jpg,in cutie\frunza sanatoasa dar galbena\camera\fara.jpg,fara,,1920,1080,195561,filtered_camera_foreground,111433,0.053739,in cutie\frunza sanatoasa dar galbena\spectru\fara.txt,,,,0.501995,0.52549,,,,678,375,501,300,925.4,527.67,0.505824,0.529412,0.081462,0.241569,0.529412,0.529412,0.541176,0.05098,0.611765,0.51338,0.552941,0.105759,0.172549,0.54902,0.552941,0.552941,0.0,0.580392,0.512101,0.545098,0.098185,0.192157,0.545098,0.545098,0.545098,0.027451,0.6,128.984986,135.0,20.772853,61.6,135.0,135.0,138.0,13.0,156.0,130.911902,141.0,26.968425,44.0,140.0,141.0,141.0,0.0,148.0,130.585859,139.0,25.037095,49.0,139.0,139.0,139.0,7.0,153.0,0.524313,0.552941,0.087181,0.241569,0.552941,0.552941,0.552941,0.05098,0.611765,133.699864,141.0,22.231148,61.6,141.0,141.0,141.0,13.0,156.0,0.511681,0.547373,0.099676,0.189522,0.547069,0.547373,0.547373,0.01282,0.582338,0.066796,0.042553,0.073668,0.028571,0.042553,0.042553,0.267857,0.0,1.0,0.332281,0.339759,0.01744,0.289655,0.337349,0.339759,0.339759,0.0,0.347291,0.008835,0.031373,0.04396,-0.098039,0.019608,0.031373,0.031373,-0.141177,0.066667,-0.002977,0.043796,0.110605,-0.287879,0.029197,0.043796,0.043796,-2.499999,0.082707,173.455181,0.957447,33742.259432,0.957447,0.957447,0.971429,1.363636,0.921429,7843137.5,92.50588,0.985816,18274.901024,0.985816,0.985816,0.992857,1.095652,0.85,4705882.5,,,,,,,,,,,,
in cutie\Referinta alba,white_reference,white_reference,532.jpg,in cutie\Referinta alba\camera\532.jpg,532,532,1920,1080,499655,full_frame_reference,2073600,1.0,in cutie\Referinta alba\spectru\refirinta alba 532.txt,641.96,0.589234,0.552941,0.501995,0.52549,,,,0,0,1920,1080,959.5,539.5,0.523017,0.458824,0.226405,0.247059,0.345098,0.701961,0.976471,0.0,1.0,0.512337,0.505882,0.130662,0.298039,0.419608,0.619608,0.713726,0.0,0.862745,0.458489,0.411765,0.185045,0.223529,0.313726,0.592157,0.819608,0.0,1.0,133.369414,117.0,57.733375,63.0,88.0,179.0,249.0,0.0,255.0,130.645864,129.0,33.318692,76.0,107.0,158.0,182.0,0.0,220.0,116.914697,105.0,47.186556,57.0,80.0,151.0,209.0,0.0,255.0,0.589234,0.552941,0.195924,0.317647,0.435294,0.72549,0.976471,0.027451,1.0,150.25456,141.0,49.960704,81.0,111.0,185.0,249.0,7.0,255.0,0.51072,0.495354,0.142062,0.295765,0.402271,0.629701,0.738657,0.005836,0.887529,0.275967,0.287554,0.11018,0.098361,0.18617,0.357798,0.438679,0.0,1.0,0.356376,0.350649,0.065608,0.256167,0.306163,0.418006,0.450382,0.0,0.683544,0.043167,0.062745,0.296392,-0.494118,-0.133333,0.309804,0.423529,-0.654902,0.584314,-8.31919,0.014388,11261.100297,-0.462963,-0.195531,0.27044,0.380531,-7843137.5,8627452.0,1582.244692,0.983871,127373.347227,0.621053,0.715909,1.238095,1.604167,0.0,15686275.0,488.817019,0.857143,48794.250182,0.581395,0.68323,1.046512,1.304054,0.0,12156863.0,,,,,,,,,,,,
in cutie\Referinta alba,white_reference,white_reference,556.jpg,in cutie\Referinta alba\camera\556.jpg,556,556,1920,1080,544979,full_frame_reference,2073600,1.0,in cutie\Referinta alba\spectru\refirinta alba  556.txt,700.56,0.513803,0.517647,0.501995,0.52549,,,,0,0,1920,1080,959.5,539.5,0.425217,0.407843,0.138866,0.215686,0.313726,0.54902,0.647059,0.0,0.866667,0.447166,0.431373,0.111523,0.290196,0.364706,0.521569,0.65098,0.0,0.858824,0.362096,0.364706,0.103894,0.192157,0.282353,0.443137,0.52549,0.0,0.87451,108.430278,104.0,35.410724,55.0,80.0,140.0,165.0,0.0,221.0,114.027255,110.0,28.438364,74.0,93.0,133.0,166.0,0.0,219.0,92.334379,93.0,26.493044,49.0,72.0,113.0,134.0,0.0,223.0,0.513803,0.517647,0.106783,0.341176,0.427451,0.6,0.67451,0.090196,0.87451,131.019727,132.0,27.229543,87.0,109.0,153.0,172.0,23.0,223.0,0.436357,0.427886,0.08901,0.298269,0.375411,0.498013,0.589927,0.023706,0.761966,0.344467,0.369369,0.135102,0.133333,0.221429,0.453846,0.536364,0.0,1.0,0.371305,0.361564,0.088273,0.232759,0.304348,0.455927,0.496528,0.0,1.0,0.107019,0.105882,0.312258,-0.427451,-0.109804,0.388235,0.552941,-0.627451,0.713726,-1.293988,0.032895,2510.769034,-0.603448,-0.208333,0.366667,0.489796,-3529412.0,784313.6875,24.653947,0.961905,17613.304613,0.516667,0.614754,1.256881,1.865169,0.0,16078432.0,13.143286,0.805195,8887.337552,0.47619,0.585366,1.036697,1.43617,0.0,7058824.0,,,,,,,,,,,,
in cutie\Referinta alba,white_reference,white_reference,680.jpg,in cutie\Referinta alba\camera\680.jpg,680,680,1920,1080,460768,full_frame_reference,2073600,1.0,in cutie\Referinta alba\spectru\refirinta alba  680.txt,794.45,0.603466,0.603922,0.501995,0.52549,,,,0,0,1920,1080,959.5,539.5,0.603466,0.603922,0.187273,0.227451,0.521569,0.74902,0.866667,0.035294,1.0,0.271161,0.247059,0.127188,0.066667,0.180392,0.384314,0.470588,0.0,0.607843,0.195272,0.168627,0.108252,0.035294,0.113725,0.290196,0.380392,0.0,0.694118,153.883854,154.0,47.754488,58.0,133.0,191.0,221.0,9.0,255.0,69.146168,63.0,32.432998,17.0,46.0,98.0,120.0,0.0,155.0,49.794426,43.0,27.604335,9.0,29.0,74.0,97.0,0.0,177.0,0.603466,0.603922,0.187272,0.227451,0.521569,0.74902,0.866667,0.035294,1.0,153.883879,154.0,47.754436,58.0,133.0,191.0,221.0,9.0,255.0,0.33633,0.315775,0.136446,0.109536,0.248268,0.45539,0.545157,0.007504,0.68442,0.69521,0.7,0.120381,0.509434,0.60396,0.77439,0.897436,0.126761,1.0,0.240702,0.251515,0.046081,0.161538,0.225641,0.270732,0.282555,0.0,0.415584,-0.256415,-0.270588,0.060182,-0.32549,-0.294118,-0.239216,-0.098039,-0.439216,0.07451,-0.515628,-0.495238,0.117726,-0.72549,-0.569697,-0.428571,-0.387387,-3.666664,-0.036364,107268.362561,2.307692,1058226.971508,1.758929,1.926316,2.780488,4.578947,1.0625,33725492.0,2315.319667,0.705882,45292.789531,0.4,0.6,0.815789,0.933333,0.0,8235294.5,,,,,,,,,,,,
in cutie\Referinta alba,white_reference,white_reference,725.jpg,in cutie\Referinta alba\camera\725.jpg,725,725,1920,1080,447260,full_frame_reference,2073600,1.0,in cutie\Referinta alba\spectru\refirinta alba 725.txt,719.31,0.554807,0.576471,0.501995,0.52549,,,,0,0,1920,1080,959.5,539.5,0.552884,0.572549,0.208927,0.145098,0.454902,0.717647,0.831373,0.0,0.968627,0.395989,0.415686,0.170932,0.062745,0.298039,0.533333,0.627451,0.0,0.760784,0.364211,0.376471,0.158058,0.054902,0.258824,0.501961,0.568627,0.0,0.835294,140.985422,146.0,53.276371,37.0,116.0,183.0,212.0,0.0,247.0,100.977079,106.0,43.587552,16.0,76.0,136.0,160.0,0.0,194.0,92.873873,96.0,40.304842,14.0,66.0,128.0,145.0,0.0,213.0,0.554807,0.576471,0.207745,0.145098,0.458824,0.721569,0.831373,0.0,0.968627,141.475886,147.0,52.974928,37.0,117.0,184.0,212.0,0.0,247.0,0.42705,0.446981,0.176453,0.080721,0.331305,0.569722,0.664591,0.0,0.798192,0.393769,0.373272,0.172822,0.166667,0.276596,0.456376,0.741379,0.0,1.0,0.288303,0.300654,0.048784,0.225,0.289037,0.308534,0.316929,0.0,0.999999,-0.125118,-0.12549,0.034912,-0.180392,-0.14902,-0.101961,-0.062745,-0.321569,0.054902,-669.824505,-0.269231,40204.054978,-0.575,-0.325926,-0.227273,-0.157895,-5490196.5,1568627.375,66024.620944,1.4,572018.928228,1.158333,1.315436,1.529412,2.466666,0.0,15294118.0,9116.268006,0.9,158615.644626,0.641791,0.81203,1.019608,1.291667,0.0,10588235.0,,,,,,,,,,,,
in cutie\Referinta alba,white_reference,white_reference,850.jpg,in cutie\Referinta alba\camera\850.jpg,850,850,1920,1080,404280,full_frame_reference,2073600,1.0,in cutie\Referinta alba\spectru\refirinta alba 850.txt,459.53,0.483964,0.501961,0.501995,0.52549,,,,0,0,1920,1080,959.5,539.5,0.466359,0.478431,0.190641,0.086275,0.345098,0.627451,0.72549,0.0,0.835294,0.455195,0.470588,0.196318,0.078431,0.321569,0.623529,0.721569,0.0,0.835294,0.469246,0.498039,0.216434,0.058824,0.321569,0.647059,0.756863,0.0,0.882353,118.921551,122.0,48.613463,22.0,88.0,160.0,185.0,0.0,213.0,116.07477,120.0,50.061186,20.0,82.0,159.0,184.0,0.0,213.0,119.657735,127.0,55.190628,15.0,82.0,165.0,193.0,0.0,225.0,0.483964,0.501961,0.199611,0.090196,0.352941,0.647059,0.756863,0.0,0.882353,123.410938,128.0,50.900712,23.0,90.0,165.0,193.0,0.0,225.0,0.458583,0.473105,0.196359,0.079517,0.324667,0.626062,0.725789,0.0,0.838126,0.119185,0.064,0.151954,0.018293,0.041667,0.107143,0.415584,0.0,1.0,0.329329,0.327217,0.03294,0.316514,0.323864,0.330509,0.35503,0.0,1.0,-0.025215,-0.027451,0.02524,-0.058824,-0.039216,-0.011765,0.023529,-0.176471,0.129412,34.383803,-0.014184,8966.207456,-0.166667,-0.047619,0.0,0.02963,-784313.75,3529412.25,2431.217887,1.013699,54082.460199,0.971698,1.0,1.049505,1.237288,0.0,4313725.5,882.659948,1.03937,25112.854109,0.69697,1.0,1.064516,1.103448,0.0,5098039.5,,,,,,,,,,,,
in cutie\Referinta alba,white_reference,white_reference,940.jpg,in cutie\Referinta alba\camera\940.jpg,940,940,1920,1080,481548,full_frame_reference,2073600,1.0,in cutie\Referinta alba\spectru\refirinta alba 940.txt,338.23,0.513442,0.494118,0.501995,0.52549,,,,0,0,1920,1080,959.5,539.5,0.499871,0.482353,0.149063,0.258824,0.403922,0.635294,0.72549,0.0,0.870588,0.493453,0.47451,0.151237,0.25098,0.396078,0.631373,0.721569,0.0,0.854902,0.502775,0.490196,0.161451,0.223529,0.403922,0.647059,0.737255,0.0,0.862745,127.467169,123.0,38.011006,66.0,103.0,162.0,185.0,0.0,222.0,125.830527,121.0,38.565444,64.0,101.0,161.0,184.0,0.0,218.0,128.207533,125.0,41.170064,57.0,103.0,165.0,188.0,0.0,220.0,0.513442,0.494118,0.151284,0.266667,0.415686,0.65098,0.737255,0.003922,0.870588,130.927808,126.0,38.577368,68.0,106.0,166.0,188.0,1.0,222.0,0.495491,0.475889,0.151284,0.251279,0.397159,0.633323,0.722135,0.000566,0.857954,0.06799,0.048276,0.071935,0.011765,0.030457,0.076336,0.20339,0.0,1.0,0.330562,0.32965,0.010115,0.319865,0.326154,0.333333,0.344595,0.0,0.999999,-0.01574,-0.019608,0.025783,-0.054902,-0.031373,0.0,0.031373,-0.184314,0.156863,12.226543,-0.010526,8041.08761,-0.086207,-0.032258,0.005618,0.042373,-3529411.5,4705882.5,22.010409,1.010204,7812.599071,0.96,0.994506,1.032787,1.098901,0.0,6274510.0,11.410963,1.026882,5847.186979,0.857143,1.0,1.048387,1.087379,0.0,5098039.5,,,,,,,,,,,,
in cutie\Referinta alba,white_reference,white_reference,fara.jpg,in cutie\Referinta alba\camera\fara.jpg,fara,,1920,1080,137219,full_frame_reference,2073600,1.0,in cutie\Referinta alba\spectru\referinta alba fara filtru.txt,,,,0.501995,0.52549,,,,0,0,1920,1080,959.5,539.5,0.563088,0.588235,0.228297,0.019608,0.490196,0.717647,0.870588,0.0,0.968627,0.45842,0.466667,0.198091,0.003922,0.392157,0.596078,0.745098,0.0,0.835294,0.477221,0.490196,0.197529,0.007843,0.419608,0.611765,0.752941,0.0,0.847059,143.587495,150.0,58.215839,5.0,125.0,183.0,222.0,0.0,247.0,116.897218,119.0,50.51319,1.0,100.0,152.0,190.0,0.0,213.0,121.6913,125.0,50.369981,2.0,107.0,156.0,192.0,0.0,216.0,0.563389,0.592157,0.228004,0.019608,0.490196,0.717647,0.870588,0.0,0.968627,143.66409,151.0,58.141062,5.0,125.0,183.0,222.0,0.0,247.0,0.48203,0.495081,0.20433,0.006135,0.413598,0.624744,0.771191,0.0,0.859153,0.249272,0.195652,0.197881,0.144928,0.166667,0.21831,0.857143,0.0,1.0,0.284687,0.30343,0.070068,0.090909,0.298429,0.310448,0.315476,0.0,0.999999,-0.123468,-0.133333,0.039873,-0.164706,-0.145098,-0.113726,-0.019608,-0.270588,0.023529,-1316.043103,-0.20339,36598.668808,-0.999999,-0.228571,-0.167539,-0.142857,-2745098.25,1960784.25,53908.87481,1.242105,317410.875604,1.166667,1.196319,1.277311,4.999988,0.0,5882353.0,22630.066588,1.046296,161247.138666,0.988764,1.016304,1.081081,1.999995,0.0,12156863.0,,,,,,,,,,,,
